,time,open,high,low,close,volume
0,2024-11-16T00:00:00.000,0.03393,0.03531,0.03379,0.03459,47945.7822
1,2024-11-17T00:00:00.000,0.03459,0.03482,0.03394,0.03423,31690.3787
2,2024-11-18T00:00:00.000,0.03423,0.03562,0.03379,0.03546,41927.0693
3,2024-11-19T00:00:00.000,0.03547,0.03563,0.03328,0.03367,75082.9882
4,2024-11-20T00:00:00.000,0.03366,0.03387,0.03234,0.03255,42134.7681
5,2024-11-21T00:00:00.000,0.03256,0.03464,0.03187,0.03414,137459.2672
6,2024-11-22T00:00:00.000,0.03414,0.03465,0.03292,0.03364,68193.377
7,2024-11-23T00:00:00.000,0.03365,0.03546,0.0336,0.03476,83530.6108
8,2024-11-24T00:00:00.000,0.03476,0.03504,0.034,0.03432,30892.0939
9,2024-11-25T00:00:00.000,0.03432,0.03692,0.03403,0.03671,101846.2022
10,2024-11-26T00:00:00.000,0.03671,0.03673,0.03524,0.03616,49777.0519
11,2024-11-27T00:00:00.000,0.03616,0.0384,0.0359,0.03811,80368.6414
12,2024-11-28T00:00:00.000,0.03812,0.03817,0.03715,0.03742,43390.0808
13,2024-11-29T00:00:00.000,0.03741,0.0375,0.03661,0.03686,29565.4277
14,2024-11-30T00:00:00.000,0.03686,0.03871,0.03685,0.03841,45027.4974
15,2024-12-01T00:00:00.000,0.03842,0.03871,0.03772,0.03814,41926.4768
16,2024-12-02T00:00:00.000,0.03814,0.0386,0.0375,0.03802,59240.5149
17,2024-12-03T00:00:00.000,0.03802,0.03817,0.0372,0.0377,58876.6272
18,2024-12-04T00:00:00.000,0.0377,0.04013,0.0377,0.03893,105290.8122
19,2024-12-05T00:00:00.000,0.03893,0.04032,0.03701,0.03904,125494.923
20,2024-12-06T00:00:00.000,0.03905,0.04076,0.03902,0.04009,84462.7765
21,2024-12-07T00:00:00.000,0.04009,0.04034,0.03979,0.04003,21187.2676
22,2024-12-08T00:00:00.000,0.04003,0.04012,0.03954,0.0396,20415.9536
23,2024-12-09T00:00:00.000,0.0396,0.0399,0.03702,0.03815,72973.1302
24,2024-12-10T00:00:00.000,0.03816,0.03859,0.03699,0.03756,60905.286
25,2024-12-11T00:00:00.000,0.03756,0.03799,0.037,0.0379,28987.2422
26,2024-12-12T00:00:00.000,0.03789,0.03936,0.03778,0.03881,45493.1301
27,2024-12-13T00:00:00.000,0.03882,0.03954,0.03841,0.03852,31997.333
28,2024-12-14T00:00:00.000,0.03853,0.03872,0.03797,0.03817,20488.9074
29,2024-12-15T00:00:00.000,0.03817,0.0382,0.03746,0.0379,24542.5901
30,2024-12-16T00:00:00.000,0.03791,0.03832,0.03695,0.03759,45274.0023
31,2024-12-17T00:00:00.000,0.03759,0.03782,0.03641,0.03668,32227.0342
32,2024-12-18T00:00:00.000,0.03667,0.0373,0.03607,0.0362,41240.2558
33,2024-12-19T00:00:00.000,0.03619,0.03727,0.03473,0.03506,67093.974
34,2024-12-20T00:00:00.000,0.03505,0.03594,0.03337,0.03549,82283.503
35,2024-12-21T00:00:00.000,0.03549,0.03592,0.03407,0.03432,30856.699
36,2024-12-22T00:00:00.000,0.03432,0.03501,0.03412,0.03448,21270.5156
37,2024-12-23T00:00:00.000,0.03448,0.03672,0.03429,0.03608,33213.8392
38,2024-12-24T00:00:00.000,0.03607,0.03631,0.03523,0.0354,29779.6111
39,2024-12-25T00:00:00.000,0.03541,0.03578,0.03494,0.03517,14007.6601
40,2024-12-26T00:00:00.000,0.03517,0.0354,0.03462,0.03482,15529.9816
41,2024-12-27T00:00:00.000,0.03482,0.03557,0.03477,0.03535,19696.6852
42,2024-12-28T00:00:00.000,0.03535,0.03584,0.03525,0.03572,8443.3777
43,2024-12-29T00:00:00.000,0.03573,0.03595,0.03553,0.0358,12370.6144
44,2024-12-30T00:00:00.000,0.0358,0.03659,0.03579,0.03623,25253.9724
45,2024-12-31T00:00:00.000,0.03623,0.03628,0.03558,0.03567,18075.99
46,2025-01-01T00:00:00.000,0.03567,0.03579,0.03538,0.03553,9776.0291
47,2025-01-02T00:00:00.000,0.03553,0.03604,0.0354,0.03562,17944.9357
48,2025-01-03T00:00:00.000,0.03563,0.03681,0.03558,0.03676,22298.8303
49,2025-01-04T00:00:00.000,0.03676,0.03689,0.03657,0.03673,3875.021
